iter	Passed	Remaining
641	1317	734
642	1319	732
643	1326	733
644	1327	730
645	1329	728
646	1330	726
647	1332	723
648	1334	721
649	1339	721
650	1341	719
651	1342	716
652	1344	714
653	1345	711
654	1347	709
655	1349	707
656	1351	705
657	1354	704
658	1356	702
659	1357	699
660	1359	697
661	1360	694
662	1361	692
663	1365	690
664	1388	699
665	1399	702
666	1410	704
667	1414	703
668	1418	701
669	1425	702
670	1427	700
671	1431	698
672	1440	699
673	1442	697
674	1446	696
675	1454	696
676	1456	694
677	1458	692
678	1483	701
679	1487	700
680	1490	698
681	1491	695
682	1499	696
683	1502	694
684	1504	692
685	1510	691
686	1512	689
687	1515	687
688	1516	684
689	1517	681
690	1519	679
691	1523	678
692	1526	676
693	1527	673
694	1530	671
695	1532	669
696	1534	666
697	1536	664
698	1541	663
699	1544	662
700	1555	663
701	1557	661
702	1559	658
703	1560	656
704	1564	654
705	1567	652
706	1570	650
707	1572	648
708	1573	645
709	1575	643
710	1579	642
711	1586	641
712	1591	640
713	1595	638
714	1596	636
715	1598	633
716	1599	631
717	1601	628
718	1602	626
719	1606	624
720	1607	622
721	1610	620
722	1611	617
723	1613	615
724	1614	612
725	1616	609
726	1619	608
727	1621	605
728	1623	603
729	1626	601
730	1627	598
731	1629	596
732	1636	595
733	1637	593
734	1639	590
735	1641	588
736	1643	586
737	1645	584
738	1656	584
739	1667	585
740	1671	584
741	1673	581
742	1675	579
743	1687	580
744	1689	578
745	1690	575
746	1702	576
747	1705	574
748	1707	572
749	1715	571
750	1718	569
751	1721	567
752	1723	565
753	1731	564
754	1735	563
755	1738	561
756	1742	559
757	1744	556
758	1749	555
759	1752	553
760	1756	551
761	1758	549
762	1760	546
763	1761	544
764	1763	541
765	1764	538
766	1771	538
767	1773	535
768	1775	533
769	1777	530
770	1779	528
771	1781	526
772	1788	525
773	1792	523
774	1797	521
775	1799	519
776	1801	517
777	1803	514
778	1805	512
779	1807	509
780	1809	507
781	1812	505
782	1814	502
783	1816	500
784	1817	497
785	1819	495
786	1820	492
787	1824	490
788	1826	488
789	1827	485
790	1829	483
791	1831	480
792	1832	478
793	1834	475
794	1835	473
795	1851	474
796	1852	471
797	1860	470
798	1862	468
799	1863	465
800	1865	463
801	1867	461
802	1872	459
803	1874	456
804	1876	454
805	1877	452
806	1879	449
807	1881	447
808	1886	445
809	1888	443
810	1890	440
811	1892	438
812	1894	435
813	1895	433
814	1899	431
815	1901	428
816	1904	426
817	1905	424
818	1907	421
819	1909	419
820	1911	416
821	1914	414
822	1915	411
823	1917	409
824	1918	407
825	1920	404
826	1925	402
827	1928	400
828	1931	398
829	1935	396
830	1936	393
831	1938	391
832	1942	389
833	1944	386
834	1946	384
835	1947	382
836	1949	379
837	1950	377
838	1952	374
839	1955	372
840	1958	370
841	1960	367
842	1964	365
843	1965	363
844	1967	360
845	1971	358
846	1974	356
847	1977	354
848	1979	351
849	1981	349
850	1984	347
851	1990	345
852	1992	343
853	1994	340
854	2002	339
855	2005	337
856	2007	334
857	2010	332
858	2013	330
859	2014	327
860	2016	325
861	2033	325
862	2036	323
863	2043	321
864	2051	320
865	2062	319
866	2078	318
867	2082	316
868	2091	315
869	2094	312
870	2095	310
871	2098	308
872	2108	306
873	2110	304
874	2112	301
875	2114	299
876	2120	297
877	2125	295
878	2128	292
879	2132	290
880	2139	288
881	2143	286
882	2151	285
883	2153	282
884	2154	279
885	2156	277
886	2158	275
887	2165	273
888	2174	271
889	2177	269
890	2181	266
891	2185	264
892	2189	262
893	2193	260
894	2196	257
895	2202	255
896	2204	253
897	2206	250
898	2208	248
899	2220	246
900	2223	244
901	2224	241
902	2231	239
903	2235	237
904	2238	234
905	2240	232
906	2245	230
907	2246	227
908	2248	225
909	2250	222
910	2254	220
911	2256	217
912	2258	215
913	2260	212
914	2262	210
915	2263	207
916	2269	205
917	2271	202
918	2273	200
919	2275	197
920	2278	195
921	2280	192
922	2285	190
923	2287	188
924	2288	185
925	2291	183
926	2294	180
927	2296	178
928	2297	175
929	2299	173
930	2301	170
931	2302	168
932	2307	165
933	2309	163
934	2311	160
935	2312	158
936	2313	155
937	2316	153
938	2317	150
939	2321	148
940	2323	145
941	2324	143
942	2326	140
943	2327	138
944	2329	135
945	2330	133
946	2331	130
947	2335	128
948	2336	125
949	2338	123
950	2339	120
951	2341	118
952	2343	115
953	2345	113
954	2346	110
955	2349	108
956	2350	105
957	2352	103
958	2354	100
959	2356	98
960	2358	95
961	2360	93
962	2363	90
963	2365	88
964	2367	85
965	2369	83
966	2370	80
967	2372	78
968	2374	75
969	2378	73
970	2380	71
971	2382	68
972	2385	66
973	2386	63
974	2388	61
975	2391	58
976	2393	56
977	2395	53
978	2397	51
979	2398	48
980	2400	46
981	2403	44
982	2405	41
983	2406	39
984	2408	36
985	2409	34
986	2411	31
987	2412	29
988	2414	26
989	2417	24
990	2419	21
991	2420	19
992	2425	17
993	2428	14
994	2429	12
995	2432	9
996	2434	7
997	2436	4
998	2438	2
999	2440	0
